13480253104	540	540	1080
13502468823	22005	331047	353052
13560436666	3348	2862	6210
13560439658	6102	17676	23778
13602846565	5814	8730	14544
13660577991	20880	2070	22950
13719199419	720	0	720
13726230503	7443	74043	81486
13726238888	7443	74043	81486
13760778710	360	360	720
13826544101	792	0	792
13922314466	9024	11160	20184
13925057413	33174	144729	177903
13926251106	720	0	720
13926435656	396	4536	4932
15013685858	10977	10614	21591
15920133257	9468	8808	18276
15989002119	5814	540	6354
18211575961	4581	6318	10899
18320173382	28593	7236	35829
84138413	12348	4296	16644
